序号	名称	分类	数据主体	主体类型	数据类型（公共企业个人）	场景类型（服务对象）	场景类型（属性）	数据协同机制	是否跳转平台（微信）	是否平台授权	平台名称	工具	备注
24	医疗健康专区	医疗健康	国家医疗保障局；苏州市卫健委；（医院）；苏州医保平台；苏州卫健委；掌上大厅；方橙式（光大银行）；苏州市妇女联合会；苏周到	政府、企业、个人	公共、企业、个人	面向用户	融合	交互；融合；直接提供	否	是			医保服务打开跳转到掌上大厅；方橙式是由中国光大银行股份有限公司苏州分行首创的互联网医疗健康惠民平台；同“交通出行专区”一样，集中了大部分场景，同时加入了其他主体的服务
25	预约挂号	医疗健康	苏州市卫健委；（医院）	政府；企业	公共、企业、个人	面向用户	融合	交互；融合	否	是	苏州市卫健委		
26	先诊后付	医疗健康	苏州医保局；（医院）	政府；企业	公共、企业、个人	面向用户	融合	交互；融合	否	是	苏州医保局	百度地图	
27	健康档案	医疗健康	苏州市卫健委	政府	公共	面向用户	单独	直接提供	否	否			
28	医保服务	医疗健康	苏州医保局	政府	公共、个人	面向用户	融合	交互	否	是	苏州医保		将前面的先诊后付加入到里面
29	AED点位	医疗健康	苏州市红十字会	社会组织	公共	面向用户	单独	直接提供	否	否		百度地图；高德地图	
30	献血服务	医疗健康			公共、个人	面向用户	单独	直接提供	否	否			
31	医疗资源	医疗健康			公共	面向用户	单独	直接提供	否	否		百度地图；高德地图	
32	苏州急救	医疗健康	苏州市急救中心	政府	公共、个人	面向用户；面向企业	单独	交互	否	是	苏州市急救中心		苏州市急救中心（苏州市卫生健康委员会直属全额拨款事业单位）
33	公益心理咨询	医疗健康	市妇联联合文明办、卫健委、教育局出台	政府	公共	面向用户	融合	直接提供	否	否			是对线下活动的介绍
34	防疫服务	医疗健康	苏州市卫生健康委员会	政府	公共、个人	面向用户	融合	直接提供	否	否		健康氧疗站位置等	主要为位置查询，没有规定具体用哪种地图
35	运动体育	文体休闲	运动苏州APP（苏州市体育局）	政府	公共、个人	面向用户	融合	交互	否	是	运动苏州	百度地图；高德地图	
36	体育惠民	文体休闲	苏州市体育局；（场馆）	政府；企业	公共、企业、个人	面向用户	融合	交互	否	否			用户可以购买场馆课程或服务
37	文旅总入口	文体休闲	君到苏州APP（苏州市文化广电和旅游局）	政府	公共、企业、个人	面向用户	融合	交互；融合	否	否		云上观展；数字博物馆；3D文物等	直接接入君到苏州APP
38	消费指南	文体休闲	苏州市商务局	政府	公共	面向用户	单独	直接提供	是	否	爱购苏州（微信）		电子版本的消费指南
39	苏州园林	文体休闲	苏州市园林与绿化管理局	政府	公共、个人	面向用户	单独	交互	否	是	苏州市园林与绿化管理局		
40	景区舒适度	文体休闲	君到苏州APP（苏州市文化广电和旅游局）	政府	公共	面向用户	单独	直接提供	否	否			
41	入学一件事	教育服务	苏州市教育局、苏州市大数据管理局、苏州市行政审批局；姑苏区、相城区、高新区、吴中区、工业园区、吴江区、昆山、太仓、张家港、常熟	政府	公共、个人	面向用户	融合	交互	是	是	入学一件事		姑苏区、相城区、高新区、工业园区可以在APP内直接进入报名界面；吴中区、吴江区、昆山、太仓、张家港、常熟要另登录网址或查找各自的小程序才能进行报名
42	学校体育场馆预约	教育服务	苏州市教育局	政府	公共、个人	面向用户	单独	交互	否	是	学校体育场馆预约		
43	托育机构查询	教育服务	苏州市卫生健康委员会（江苏政务服务APP：苏服办）	政府	公共	面向用户	单独	直接提供	否	否			苏服办APP提供，提供幼儿园名称、地址和联系方式等内容，没有直接导航
44	名师空中课堂	教育服务	江苏省教育厅	政府	公共、个人	面向用户	单独	交互	否	是	江苏中小学智慧教育平台【名师空中课堂】		"名师空中课堂是江苏省教育厅推出的在线教育平台,设有点播课堂、点播课堂、家长课堂、在线答疑"
45	教育E卡通	教育服务	苏州市电化教育馆管理和发行，苏州市民卡有限公司提供运营服务	政府；企业	公共、个人	面向用户	融合	交互	否	是	教育E卡通		苏州市电化教育馆是隶属于苏州市教育局的事业单位法人
46	高校学籍查询	教育服务											没有查询界面
47	高校学历查询	教育服务	苏州市教育局	政府									没有查询界面
48	中考成绩查询	教育服务	苏州市教育局	政府	个人	面向用户	单独	直接提供	否	否			
49	老年大学	教育服务	苏州市教育局；苏州市大数据管理局；苏州市广播电视总台；苏州市老年大学	政府	公共	面向用户	融合	直接提供	否	否			线上课程（录播课）
50	廉勤监督	政务办事	中共苏州市纪律检查委员会；苏州市监察委员会	政府	公共、个人、企业	面向用户；面向企业；面向政府	融合	交互；融合	否	否			监督管理，人民群众入口的“监督一点通”面向的是全国大部分省份
51	智慧法院	政务办事	江苏省苏州市中级人民法院	政府	公共、个人	面向用户	单独	交互	否	是	苏州智慧法院		苏州智慧法院app是一款由苏州市中级人民法院面向市民推出的便民应用，提供了诉讼服务、执行服务、公共服务、法院新闻、码上办等功能。
52	互联网法庭	政务办事	苏州互联网法庭	政府；企业	公共、企业、个人	面向用户	融合	交互；融合；直接提供	是	否	人民法院在线服务（江苏）（微信）；云晤（微信）		苏州互联网法庭是经最高人民法院批准设立的江苏首家互联网法庭；云晤APP是一款由公司共道网络科技有限公司研发的线上法庭软件
53	户政服务	政务办事	苏州市公安局	政府	公共、企业	面向用户	单独	交互	否	是	苏州公安微警务		居住证办理点要求在微信客户端打开链接，没有自动跳转微信小程序
54	出入境服务	政务办事	苏州市公安局（出入境窗口）	政府	公共、个人	面向用户	单独	交互	否	是	临住自主申报	百度地图	
55	政务服务地图	政务办事	苏州市行政审批局	政府	公共、个人	面向用户	单独	交互	否	是	政务服务数字地图	百度地图；高德地图	"苏州市行政审批局发布的覆盖全市的数字地图服务。
用户须知：获取操作记录、位置信息和各级政务服务大厅线上线下办件信息、预约信息（用于当前定位、路线导航、3公里查询、5公里查询最近搜索等智能推荐服务。
合并使用的江苏省政务服务网用户和“苏周到”用户（用于实现错误反馈、评价、收藏、咨询投诉、预约和取号等记录信息互通）。可以搜索：为解决办事群众因不了解个别政务服务事项规范名称而无法找到相关服务内容的问题，数字地图对“民间称呼”和“规范名称”进行了匹配，比如，通过搜索“养狗”就可以找到“养犬登记”等服务。"
56	市政务服务中心排队详情	政务办事	苏州市行政审批局	政府	公共、个人	面向用户	单独	交互	否	否			
57	档案服务	政务办事	（档案馆）	政府	公共、个人	面向用户	融合	数字化场景	否	是	苏州市档案馆民生档案查询	在线展厅（3D技术）	多个档案馆和线上展厅
58	户籍新政	政务办事	苏州市公安局	政府	公共、个人	面向用户	单独	交互	否	否		积分落户办理地点地图	苏州市新市民事务中心为苏州市公安局下属事业单位；一刻钟便民生活圈（积分落户办理地点地图）
59	公证服务	政务办事			个人、企业	面向用户；面向企业	融合	交互	是	是	苏州公证综合服务平台；苏州存（微信）		（苏州联证智能科技有限公司提供技术支持）
60	在线存证与公证	政务办事	苏城公证处			面向用户；面向企业		交互	是	是	苏城存证；苏州知识产权公证悬赏（微信）		苏城存证是由苏城公证处自主开发的一套电子数据存证系统；更多存证需求扫码下载APP；在线公证和律师服务暂未开放
61	不动产证明	政务办事	苏州市资规局	政府	个人	面向用户	单独	直接提供	否	是	苏州市资规局		
62	商品房预售许可查询	政务办事	苏州住建局	政府	公共	面向用户	单独	直接提供	否	否			
63	个人所得税	政务办事	国家税务总局	政府	个人	面向用户	单独	交互	否	否			需要下载个人所得税APP
64	婚姻登记预约	政务办事	江苏省民政厅；苏州市民政局	政府	公共、个人	面向用户	数据汇集	交互	否	是	苏州市民政局/江苏省婚姻登记在线服务平台		跳转在江苏省婚姻登记在线服务平台，由江苏省民政厅主办
65	社会组织查询	政务办事	苏州市民政局社会组织管理处	政府	公共	其他	单独	交互	否	否			
66	线上乡村	民生服务	苏州市农业农村局；共享农庄创作者；苏农名品商家	政府、企业、个人	公共、个人	面向用户	融合	交互	是	是	线上乡村总入口；苏农名品、宠物云病例（微信）	共享农庄（3D技术），百度地图	专家诊断咨询人数非常少，回复率为0%；共享农庄包含用户评价和地图导航，但只为百度地图；宠物云病例机构设置了满意度标准，但没有评价数据；特色案例选择苏州市农业农村局等微信公众号文章
67	无理由退货	民生服务	苏州市市场监督管理局	政府	企业、个人	面向用户	融合	交互	否	是	苏州市市场监督管理局	放心消费热力圈	
68	文明实践	民生服务	苏州市文明办；苏州市新时代文明实践指导中心	政府	公共、企业、个人	面向用户、面向企业、面向社会组织	融合	交互	否	是	苏州志愿者（苏州市新时代文明实践中心建设工作服务平台）		苏州市新时代文明实践中心建设工作服务平台，招募团队和个人进行志愿服务活动
69	工会服务	民生服务	苏州工会	政府	公共、个人	面向用户	单独	交互	否	是	工会服务	工会地图（百度地图）	
70	青年服务	民生服务	中国共产主义青年团苏州市委员会（青春苏州）	政府	公共、企业、个人	面向用户；面向企业	单独	交互	否	否			团建助企
71	数币优惠查询	民生服务	（数字人民币APP：中国人民银行数字货币研究所）										事业单位，苏周到内提供下载二维码
72	缴费服务	民生服务	苏州市财政局；苏州市水务集团；苏州市燃气集团；江苏有限苏州分公司	政府；企业	公共、企业、个人	面向用户	融合	交互	否	是	非税缴费；苏州市水务集团；苏州市燃气集团；江苏有限苏州分公司		
73	苏州人防	民生服务	苏州市国防动员办公室（苏州市人民防空办公室）	政府	公共	面向用户	单独	交互	否	是	苏州智慧人防	周围人防工程（地图）	苏州市人民防空办公室正式改为苏州市国防动员办公室
74	文明随手拍	民生服务			个人	面向用户		交互	否	是	文明随手拍		
75	养犬登记（新）	民生服务	苏州市公安局	政府	公共、企业、个人	面向用户；面向企业	单独	交互	否	否			
76	苏找房	民生服务	苏州市住房与城乡建设局	政府	企业、个人	面向用户；面向企业	融合	交互	否	是	苏州市住房与城乡建设局		“全网通办”无法打开
77	12345	民生服务	苏州便民服务中心	政府	公共、个人	面向用户	融合	交互	否	否			12345、寒山闻钟两个公众号融合为一个，苏周到登录；将前面自助挪车的服务也加入到了该场景中
78	iSuzhou	民生服务	苏州市政府新闻办公室	政府	公共、个人	面向用户	单独	交互	否	否			iSuzhou苏州外籍人士服务平台由市政府新闻办公室牵头主办；设置了资讯和问答内容
79	国家电网	民生服务	国王江苏省电力有限公司	企业	公共、企业、个人	面向用户	单独	交互	否	否			
80	数字课堂	民生服务	苏周到			面向用户	单独	直接提供	否	否			是APP使用必备，线上录播课程（苏周到数字课堂专题课）
81	居民消费价格指数	民生服务			公共			直接提供	否	否			没有具体写明数据来源，查找为国家统计局
82	城管问题上报	民生服务	苏州市城市管理局	政府	公共、个人	面向用户	单独	交互	否	是	苏州微城管		苏州微城管是由苏州市城市管理局开发的综合问题上报、新闻资讯、市民互动、信息查询、便民服务等功能为一体的手机端应用。但苏周到APP里面只有问题上报、历史报送和奖励规则三个功能
83	垃圾分类	民生服务	苏州环境云信息科技有限公司	企业	公共、企业、个人	面向用户、面向企业、面向社会组织	单独	交互	否	是	易丢丢	分类词典	“易丢丢”是由苏州市城市生活垃圾分类处置工作领导小组办公室搭建的网络废弃物回收平台
84	殡葬服务	民生服务	苏州市民政综合服务中心	政府	公共、个人	面向用户	融合	交互	否	是	苏城数字殡葬公共服务平台		在线预约
85	母乳哺育室	民生服务	苏州市妇女联合会	政府	公共、企业	面向用户	单独	交互	否	否		母爱地图	
86	反诈宣传	民生服务	苏州市公安局	政府	公共	面向用户	单独	直接提供	否	是			多种形式；反诈答题需要在微信客户端打开链接
87	无人机登记	民生服务	航影（江苏）信息科技有限公司	企业		面向用户	单独	交互	否	是	航拍网		下载“航拍网”APP认证申领电子执照
88	苏州天气	民生服务	苏州市气象台	政府	公共	面向用户	单独	直接提供	否	否			
89	线上苏作馆	数字古城	720云元宇宙创作平台	企业；个人	公共、个人	面向用户	融合	数字化场景	否	否		VR三维实景	720云元宇宙创作平台：多元工具+多元创作者+多元内容（黄圣杰创作的线上会展）
90	数字地图	数字古城	天地图（国家地理信息公共服务平台）	政府	公共	面向用户	单独	直接提供	否	否			
91	数字园林	数字古城	苏州市园林和绿化管理局	政府	公共	面向用户	单独	数字化场景	否	否		720°全景游，数字化场景	
92	数字古建	数字古城	苏州市自然资源和规划局	政府	公共	面向用户	单独	数字化场景	否	否		VR三维实景，BIM技术	720°云元宇宙创作平台三维实景
93	数字博物馆	数字古城	苏州文旅总入口平台“君到苏州”；（博物馆)；苏州市文物保护管理所	政府	公共	面向用户	融合	交互	否	否			线上预约博物馆
94	苏州有戏	数字古城	苏州市广播电视总台；（剧院）	政府	公共	面向用户	融合	直接提供	否	否			苏州有戏APP
95	数字城门	数字古城			公共	面向用户	单独	直接提供	否	否		720°全景	数字孪生古城
96	传统院落	数字古城			公共	面向用户	单独	直接提供	否	否		VR全景；三维模型	
97	32号街坊	数字古城			公共	面向用户	单独	直接提供	否	否		VR全景	历史变迁：展示1930、1978、2022年的不同
